Order_ID,Order_DateTime,Customer_Id,Gender,Device_Type,Customer_Login_type,Product_Category,Product,Quantity,Sales,Total_Amount,Discount,Profit,Net_Profit,Shipping_Cost,Order_Priority,Payment_method
1,2018-01-02 10:56:33,37077,Female,Web,Member,Auto & Accessories,Car Media Players,1.0,140.0,140.0,0.3,46.0,41.4,4.6,Medium,Credit_Card
2,2018-07-24 20:41:37,59173,Female,Web,Member,Auto & Accessories,Car Speakers,1.0,211.0,211.0,0.3,112.0,100.8,11.2,Medium,Credit_Card
3,2018-11-08 08:38:49,41066,Female,Web,Member,Auto & Accessories,Car Body Covers,5.0,117.0,585.0,0.1,31.2,28.099999999999998,3.1,Critical,Credit_Card
4,2018-04-18 19:28:06,50741,Female,Web,Member,Auto & Accessories,Car & Bike Care,1.0,118.0,118.0,0.3,26.2,23.599999999999998,2.6,High,Credit_Card
5,2018-08-13 21:18:39,53639,Female,Web,Member,Auto & Accessories,Tyre,1.0,250.0,250.0,0.3,160.0,144.0,16.0,Critical,Credit_Card
6,2018-07-09 21:57:05,39783,Female,Web,Member,Auto & Accessories,Bike Tyres,1.0,72.0,72.0,0.3,24.0,21.6,2.4,Critical,Credit_Card
7,2018-05-16 13:10:30,26767,Female,Web,Member,Auto & Accessories,Car Mat,1.0,54.0,54.0,0.3,54.0,48.6,5.4,High,Credit_Card
8,2018-06-23 18:29:09,20719,Female,Web,Member,Auto & Accessories,Car Seat Covers,5.0,114.0,570.0,0.2,22.6,20.3,2.3,Critical,Credit_Card
9,2018-07-29 11:55:02,46947,Female,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,5.0,231.0,1155.0,0.3,116.4,104.80000000000001,11.6,Critical,Credit_Card
10,2018-05-16 19:41:10,31839,Female,Web,Member,Auto & Accessories,Car Media Players,1.0,140.0,140.0,0.2,54.4,49.0,5.4,Critical,Money_Order
11,2018-07-13 19:58:11,22249,Female,Web,Member,Auto & Accessories,Car Speakers,4.0,211.0,844.0,0.1,122.6,110.3,12.3,Critical,Credit_Card
12,2018-10-07 10:06:19,15109,Female,Web,Member,Auto & Accessories,Car Body Covers,4.0,117.0,468.0,0.3,18.3,16.5,1.8,High,Credit_Card
13,2018-07-25 17:44:10,18622,Female,Web,Member,Auto & Accessories,Car & Bike Care,1.0,118.0,118.0,0.2,35.6,32.0,3.6,Critical,Credit_Card
14,2018-12-01 14:14:28,56296,Female,Web,Member,Auto & Accessories,Tyre,1.0,250.0,250.0,0.3,140.0,126.0,14.0,High,Credit_Card
15,2018-10-07 19:03:12,34138,Female,Web,Member,Auto & Accessories,Bike Tyres,4.0,72.0,288.0,0.1,18.0,16.2,1.8,Medium,Credit_Card
16,2018-06-02 19:00:43,51112,Female,Web,Member,Auto & Accessories,Car Mat,1.0,54.0,54.0,0.1,27.0,24.3,2.7,Critical,Credit_Card
17,2018-03-26 23:41:31,57057,Female,Web,Member,Auto & Accessories,Car Seat Covers,1.0,114.0,114.0,0.3,22.6,20.3,2.3,High,Credit_Card
18,2018-04-21 00:03:41,50942,Female,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,5.0,231.0,1155.0,0.3,93.3,84.0,9.3,High,Credit_Card
19,2018-01-26 15:54:26,42384,Female,Web,Member,Auto & Accessories,Car Media Players,1.0,140.0,140.0,0.3,46.0,41.4,4.6,Critical,Credit_Card
20,2018-02-18 14:31:30,26127,Female,Web,Member,Auto & Accessories,Car Speakers,1.0,211.0,211.0,0.2,122.6,110.3,12.3,Critical,Credit_Card
21,2018-12-15 08:52:40,14449,Female,Web,Member,Auto & Accessories,Car Body Covers,5.0,117.0,585.0,0.1,31.2,28.099999999999998,3.1,Critical,Credit_Card
22,2018-08-03 20:37:35,16823,Female,Web,Member,Auto & Accessories,Car & Bike Care,1.0,118.0,118.0,0.3,30.9,27.799999999999997,3.1,High,Credit_Card
23,2018-06-08 07:55:29,15976,Female,Web,Member,Auto & Accessories,Tyre,4.0,250.0,1000.0,0.2,150.0,135.0,15.0,High,Credit_Card
24,2018-11-09 11:44:40,51542,Female,Web,Member,Auto & Accessories,Bike Tyres,4.0,72.0,288.0,0.2,18.0,16.2,1.8,Critical,Credit_Card
25,2018-08-20 23:46:53,42676,Female,Web,Member,Auto & Accessories,Car Mat,1.0,54.0,54.0,0.3,54.0,48.6,5.4,High,Money_Order
26,2018-10-04 00:00:13,56593,Female,Web,Member,Auto & Accessories,Car Seat Covers,4.0,114.0,456.0,0.2,24.9,22.4,2.5,Critical,E_Wallet
27,2018-12-12 01:50:26,37689,Female,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,1.0,231.0,231.0,0.3,144.1,129.7,14.4,Critical,Credit_Card
28,2018-05-02 11:45:38,26058,Female,Web,Member,Auto & Accessories,Car Media Players,1.0,140.0,140.0,0.3,55.8,50.199999999999996,5.6,High,Credit_Card
29,2018-08-25 13:50:30,38941,Female,Web,Member,Auto & Accessories,Car Speakers,1.0,211.0,211.0,0.3,112.0,100.8,11.2,Medium,Credit_Card
30,2018-11-10 11:58:33,19919,Female,Web,Member,Auto & Accessories,Car Body Covers,1.0,117.0,117.0,0.2,34.7,31.200000000000003,3.5,High,Money_Order
31,2018-09-16 21:15:39,56625,Female,Web,Member,Auto & Accessories,Car & Bike Care,1.0,118.0,118.0,0.3,27.4,24.7,2.7,Critical,Credit_Card
32,2018-03-12 13:56:04,33501,Female,Web,Member,Auto & Accessories,Tyre,1.0,250.0,250.0,0.2,165.0,148.5,16.5,Medium,Credit_Card
33,2018-08-03 12:38:58,40865,Female,Web,Member,Auto & Accessories,Bike Tyres,4.0,72.0,288.0,0.3,18.0,16.2,1.8,High,Credit_Card
34,2018-07-29 23:34:51,38256,Female,Web,Member,Auto & Accessories,Car Mat,4.0,54.0,216.0,0.3,13.5,12.1,1.4,Critical,Credit_Card
35,2018-08-17 15:59:46,14567,Female,Web,Member,Auto & Accessories,Car Seat Covers,4.0,114.0,456.0,0.1,29.4,26.5,2.9,High,Credit_Card
36,2018-08-21 18:15:12,38178,Female,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,1.0,231.0,231.0,0.3,127.9,115.10000000000001,12.8,High,Credit_Card
37,2018-07-30 21:37:10,24153,Female,Web,Member,Auto & Accessories,Car Media Players,5.0,140.0,700.0,0.3,32.0,28.8,3.2,Medium,Credit_Card
38,2018-10-01 12:23:13,27385,Female,Web,Member,Auto & Accessories,Car Speakers,4.0,211.0,844.0,0.1,122.6,110.3,12.3,Critical,Credit_Card
39,2018-12-26 17:12:18,44937,Female,Web,Member,Auto & Accessories,Car Body Covers,1.0,117.0,117.0,0.3,32.3,29.099999999999998,3.2,High,Credit_Card
40,2018-05-19 18:53:40,38490,Female,Web,Member,Auto & Accessories,Car & Bike Care,5.0,118.0,590.0,0.3,14.4,13.0,1.4,Critical,Money_Order
41,2018-04-24 21:27:48,30549,Female,Web,Member,Auto & Accessories,Tyre,5.0,250.0,1250.0,0.3,132.5,119.2,13.3,Critical,Credit_Card
42,2018-11-04 17:10:39,50606,Female,Web,Member,Auto & Accessories,Bike Tyres,5.0,72.0,360.0,0.2,14.4,13.0,1.4,Critical,Credit_Card
43,2018-11-04 23:25:30,42084,Female,Web,Member,Auto & Accessories,Car Mat,5.0,54.0,270.0,0.1,10.8,9.700000000000001,1.1,High,Money_Order
44,2018-05-18 13:55:47,52161,Female,Web,Member,Auto & Accessories,Car Seat Covers,4.0,114.0,456.0,0.3,15.8,14.200000000000001,1.6,Critical,Credit_Card
45,2018-05-14 20:28:25,32218,Female,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,4.0,231.0,924.0,0.3,114.0,102.6,11.4,High,Money_Order
46,2018-05-17 16:59:11,36491,Female,Web,Member,Auto & Accessories,Car Media Players,1.0,140.0,140.0,0.3,46.0,41.4,4.6,Critical,Credit_Card
47,2018-07-29 11:24:17,12227,Female,Web,Member,Auto & Accessories,Car Speakers,1.0,211.0,211.0,0.1,128.9,116.0,12.9,Critical,Credit_Card
48,2018-11-09 20:19:05,13196,Female,Web,Member,Auto & Accessories,Car Body Covers,4.0,117.0,468.0,0.3,13.6,12.2,1.4,Critical,Credit_Card
49,2018-08-01 14:02:19,50444,Female,Web,Guest,Auto & Accessories,Car & Bike Care,5.0,118.0,590.0,0.3,14.4,13.0,1.4,Critical,Credit_Card
50,2018-10-26 13:42:52,24528,Male,Web,Member,Auto & Accessories,Tyre,1.0,250.0,250.0,0.1,165.0,148.5,16.5,Medium,Credit_Card
51,2018-07-26 14:39:59,57748,Male,Web,Member,Auto & Accessories,Bike Tyres,1.0,72.0,72.0,0.1,36.0,32.4,3.6,Critical,Credit_Card
52,2018-03-15 00:06:10,46349,Male,Web,Member,Auto & Accessories,Car Mat,5.0,54.0,270.0,0.3,10.8,9.700000000000001,1.1,High,Credit_Card
53,2018-11-30 08:15:24,54853,Male,Web,Member,Auto & Accessories,Car Seat Covers,4.0,114.0,456.0,0.3,11.2,10.1,1.1,High,Credit_Card
54,2018-10-11 10:25:52,28082,Male,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,1.0,231.0,231.0,0.3,132.5,119.2,13.3,High,Money_Order
55,2018-10-11 08:18:19,20444,Male,Web,Member,Auto & Accessories,Car Media Players,1.0,140.0,140.0,0.3,51.6,46.4,5.2,High,Money_Order
56,2018-12-09 14:50:15,51472,Male,Web,Member,Auto & Accessories,Car Speakers,1.0,211.0,211.0,0.1,128.9,116.0,12.9,Critical,Credit_Card
57,2018-12-13 18:14:36,45606,Male,Web,Member,Auto & Accessories,Car Body Covers,4.0,117.0,468.0,0.2,27.6,24.8,2.8,High,Credit_Card
58,2018-10-13 21:11:26,47238,Male,Web,Member,Auto & Accessories,Car & Bike Care,1.0,118.0,118.0,0.3,20.3,18.3,2.0,Critical,Credit_Card
59,2018-04-30 22:02:15,18609,Male,Web,Member,Auto & Accessories,Tyre,1.0,250.0,250.0,0.3,160.0,144.0,16.0,Medium,Credit_Card
60,2018-11-05 13:09:48,39387,Male,Web,Member,Auto & Accessories,Bike Tyres,1.0,72.0,72.0,0.3,36.0,32.4,3.6,High,Credit_Card
61,2018-04-15 11:31:41,47027,Male,Web,Member,Auto & Accessories,Car Mat,5.0,54.0,270.0,0.1,10.8,9.700000000000001,1.1,High,Credit_Card
62,2018-08-19 20:31:09,31526,Male,Web,Member,Auto & Accessories,Car Seat Covers,1.0,114.0,114.0,0.1,30.6,27.5,3.1,High,Credit_Card
63,2018-09-22 08:48:13,25308,Male,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,5.0,231.0,1155.0,0.2,127.9,115.10000000000001,12.8,Medium,Money_Order
64,2018-06-07 21:44:54,47320,Male,Web,Member,Auto & Accessories,Car Media Players,1.0,140.0,140.0,0.3,53.0,47.7,5.3,Critical,Credit_Card
