Order_Date,Time,Aging,Customer_Id,Gender,Device_Type,Customer_Login_type,Product_Category,Product,Sales,Quantity,Discount,Profit,Shipping_Cost,Order_Priority,Payment_method
2018-01-02,10:56:33,8.0,37077,Female,Web,Member,Auto & Accessories,Car Media Players,140.0,1.0,0.3,46.0,4.6,Medium,credit_card
2018-07-24,20:41:37,2.0,59173,Female,Web,Member,Auto & Accessories,Car Speakers,211.0,1.0,0.3,112.0,11.2,Medium,credit_card
2018-11-08,08:38:49,8.0,41066,Female,Web,Member,Auto & Accessories,Car Body Covers,117.0,5.0,0.1,31.2,3.1,Critical,credit_card
2018-04-18,19:28:06,7.0,50741,Female,Web,Member,Auto & Accessories,Car & Bike Care,118.0,1.0,0.3,26.2,2.6,High,credit_card
2018-08-13,21:18:39,9.0,53639,Female,Web,Member,Auto & Accessories,Tyre,250.0,1.0,0.3,160.0,16.0,Critical,credit_card
2018-07-09,21:57:05,8.0,39783,Female,Web,Member,Auto & Accessories,Bike Tyres,72.0,1.0,0.3,24.0,2.4,Critical,credit_card
2018-05-16,13:10:30,1.0,26767,Female,Web,Member,Auto & Accessories,Car Mat,54.0,1.0,0.3,54.0,5.4,High,credit_card
2018-06-23,18:29:09,7.0,20719,Female,Web,Member,Auto & Accessories,Car Seat Covers,114.0,5.0,0.2,22.6,2.3,Critical,credit_card
2018-07-29,11:55:02,7.0,46947,Female,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,231.0,5.0,0.3,116.4,11.6,Critical,credit_card
2018-05-16,19:41:10,10.0,31839,Female,Web,Member,Auto & Accessories,Car Media Players,140.0,1.0,0.2,54.4,5.4,Critical,money_order
2018-07-13,19:58:11,10.0,22249,Female,Web,Member,Auto & Accessories,Car Speakers,211.0,4.0,0.1,122.6,12.3,Critical,credit_card
2018-10-07,10:06:19,1.0,15109,Female,Web,Member,Auto & Accessories,Car Body Covers,117.0,4.0,0.3,18.3,1.8,High,credit_card
2018-07-25,17:44:10,7.0,18622,Female,Web,Member,Auto & Accessories,Car & Bike Care,118.0,1.0,0.2,35.6,3.6,Critical,credit_card
2018-12-01,14:14:28,5.0,56296,Female,Web,Member,Auto & Accessories,Tyre,250.0,1.0,0.3,140.0,14.0,High,credit_card
2018-10-07,19:03:12,9.0,34138,Female,Web,Member,Auto & Accessories,Bike Tyres,72.0,4.0,0.1,18.0,1.8,Medium,credit_card
2018-06-02,19:00:43,10.0,51112,Female,Web,Member,Auto & Accessories,Car Mat,54.0,1.0,0.1,27.0,2.7,Critical,credit_card
2018-03-26,23:41:31,4.0,57057,Female,Web,Member,Auto & Accessories,Car Seat Covers,114.0,1.0,0.3,22.6,2.3,High,credit_card
2018-04-21,00:03:41,7.0,50942,Female,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,231.0,5.0,0.3,93.3,9.3,High,credit_card
2018-01-26,15:54:26,7.0,42384,Female,Web,Member,Auto & Accessories,Car Media Players,140.0,1.0,0.3,46.0,4.6,Critical,credit_card
